,pos,sentence_idx,word,tag
0,ADV,1,f,_
1,ADV,1,out,P
2,ADV,1,out,P
3,NC,1,sortie,P
4,DELIM,1,Â§,_
5,P,2,Dans,P
6,DET,2,l',P
7,NPP,2,Arc,_
8,NPP,2,tiquel,P
9,PONCT,2,,P
10,NC,2,aperÃ§ois,_
11,V,2,rÃ©alise,P
12,DELIM,2,Â§,_
13,P,3,De,P
14,ADV,3,plus,_
15,P,3,d',P
16,NC,3,amÃ©rique,_
17,P+D,3,du,_
18,NPP,3,Nord,_
19,NPP,3,A,P
20,CC,3,et,P
21,NC,3,gui,P
22,NPP,3,rgy,P
23,NPP,3,ant,P
24,NPP,3,u,P
25,ET,3,3,P
26,ET,3,sks,P
27,ET,3,walking,P
28,ET,3,dead,_
29,ET,3,the,P
30,ET,3,young,_
31,ET,3,po,_
32,ET,3,th,P
33,ET,3,the,P
34,ET,3,young,_
35,NC,3,pope,_
36,NPP,3,hwo,P
37,NPP,3,how,P
38,NPP,3,how,P
39,NPP,3,i,_
40,DELIM,3,Â§,_
41,ADJ,4,these,_
42,NC,4,routard,P
43,V,4,a,P
44,ADV,4,tassimo,P
45,NC,4,capsule,P
46,NC,4,detar,_
47,ADJ,4,horaire,P
48,NC,4,franprix,_
49,ADJ,4,gennevilliers,_
50,NC,4,luth,_
51,DELIM,4,Â§,_
52,P+D,5,du,_
53,NC,5,s,P
54,DELIM,5,Â§,_
55,P,6,Par,P
56,NC,6,rÃ©gime,_
57,DET,6,l',_
58,NC,6,auteur,_
59,V,6,entend,_
60,ADV,6,ici,_
61,NPP,6,X,_
62,CC,6,ou,_
63,NPP,6,Y,_
64,PONCT,6,),P
65,PONCT,6,.,P
66,DELIM,6,Â§,_
67,DET,7,Ce,P
68,NC,7,passage,_
69,PONCT,7,.,P
70,DELIM,7,Â§,_
71,PONCT,8,?,P
72,DELIM,8,Â§,_
73,CLS,9,Il,P
74,CLR,9,s',_
75,V,9,agira,_
76,ADV,9,ici,_
77,P,9,de,_
78,VINF,9,dÃ©terminer,_
79,CLO,9,les,_
80,V,9,a,P
